graph6 string,levelable,minimized solution
H?BD?pX,F,NA
H?BD?rD,F,NA
H?BD?qd,F,NA
H?BD?pd,F,NA
H?BD?qT,F,NA
H?BD?pT,F,NA
H?BD?ot,F,NA
H?BD?o\,F,NA
H?BD?qF,F,NA
H?BD?pF,F,NA
H?BD?oV,F,NA
H?BD?rw,F,NA
H?BD?rs,F,NA
H?BD?r[,F,NA
H?BD?q{,F,NA
H?BD?p{,F,NA
H?BD?rU,F,NA
H?BD?pu,F,NA
H?BD?q],F,NA
H?BD?p],F,NA
H?BD?rp,F,NA
H?BD?rX,F,NA
H?BD?px,F,NA
H?BD?rd,F,NA
H?BD?rT,F,NA
H?BD?qt,F,NA
H?BD?pt,F,NA
H?BD?q\,F,NA
H?BD?p\,F,NA
H?BD?o|,F,NA
H?BD?rF,F,NA
H?BD?pf,F,NA
H?BD?qV,F,NA
H?BD?pV,F,NA
H?BD?o^,F,NA
H?BD?r{,F,NA
H?BD?ru,F,NA
H?BD?r],F,NA
H?BD?p},F,NA
H?BD?rx,F,NA
H?BD?rt,F,NA
H?BD?r\,F,NA
H?BD?q|,F,NA
H?BD?p|,F,NA
H?BD?rf,F,NA
H?BD?rV,F,NA
H?BD?pv,F,NA
H?BD?q^,F,NA
H?BD?p^,F,NA
H?BD?r},F,NA
H?BD?r|,F,NA
H?BD?rv,F,NA
H?BD?r^,F,NA
H?BD?p~,F,NA
H?BD?r~,F,NA
H?BDF@w,F,NA
H?BDF@[,F,NA
H?BDF?{,F,NA
H?BDFBw,F,NA
H?BDFB[,F,NA
H?BDFA{,F,NA
H?BDF@{,F,NA
H?BDFA],F,NA
H?BDFBX,F,NA
H?BDFB{,F,NA
H?BDFB],F,NA
H?BDF@},F,NA
H?BDFBx,F,NA
H?BDFB\,F,NA
H?BDFA|,F,NA
H?BDFB},F,NA
H?BDFB|,F,NA
H?BDFB~,F,NA
H?BDB_M,F,NA
H?BDBbg,F,NA
H?BDBbW,F,NA
H?BDB`w,F,NA
H?BDBbK,F,NA
H?BDBak,F,NA
H?BDB`k,F,NA
H?BDBa[,F,NA
H?BDB`[,F,NA
H?BDB_{,F,NA
H?BDBaM,F,NA
H?BDB`M,F,NA
H?BDB_],F,NA
H?BDB`h,F,NA
H?BDBbw,F,NA
H?BDBbk,F,NA
H?BDBb[,F,NA
H?BDBa{,F,NA
H?BDB`{,F,NA
H?BDBbM,F,NA
H?BDB`m,F,NA
H?BDBa],F,NA
H?BDB`],F,NA
H?BDBbh,F,NA
H?BDBbX,F,NA
H?BDB`x,F,NA
H?BDBbL,F,NA
H?BDBal,F,NA
H?BDB`l,F,NA
H?BDBa\,F,NA
H?BDB`\,F,NA
H?BDB_|,F,NA
H?BDBaN,F,NA
H?BDB`N,F,NA
H?BDB_^,F,NA
H?BDBb{,F,NA
H?BDBbm,F,NA
H?BDBb],F,NA
H?BDB`},F,NA
H?BDBbx,F,NA
H?BDBbl,F,NA
H?BDBb\,F,NA
H?BDBa|,F,NA
H?BDB`|,F,NA
H?BDBbN,F,NA
H?BDB`n,F,NA
H?BDBa^,F,NA
H?BDB`^,F,NA
H?BDBb},F,NA
H?BDBb|,F,NA
H?BDBbn,F,NA
H?BDBb^,F,NA
H?BDB`~,F,NA
H?BDBb~,F,NA
H?BDAr_,F,NA
H?BDArO,F,NA
H?BDAow,F,NA
H?BDAqc,F,NA
H?BDAos,F,NA
H?BDArA,F,NA
H?BDAqE,F,NA
H?BDAoe,F,NA
H?BDAoU,F,NA
